mean_validation_error,mean_training_error,mean_validation_error_reg,mean_training_error_reg,seme,Numero di neuroni N,rho,sigma
0.012478857090058814,0.008376626917112117,0.013440065229343861,0.009337835056397164,2532,20,1e-05,0.88
0.0019121032238565469,0.0005981574197238928,0.002791660271663235,0.0014777144675305804,2532,30,1e-05,0.88
0.0007307321184340235,0.00020003951287096488,0.0016783974759110713,0.0011477048703480127,2532,40,1e-05,0.88
0.00045040319693986485,9.479603484668458e-05,0.0014509563689829679,0.0010953492068897874,2532,50,1e-05,0.88
0.00048116530003470496,9.578582130343586e-05,0.0014920047456929834,0.0011066252669617142,2532,60,1e-05,0.88
0.0005675000943491589,0.00010136201247398143,0.0015596160900086802,0.0010934780081335027,2532,70,1e-05,0.88
0.000446030613155157,9.41884542876402e-05,0.0014446515609380774,0.0010928094020705606,2532,80,1e-05,0.88
0.00043630341444508543,9.375657570340283e-05,0.0014493438473247816,0.001106797008583099,2532,90,1e-05,0.88
